調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,19207,山梨県 韮崎市,,37178883,13126,1533,4775,8238
2015100000,2015年度,19208,山梨県 南アルプス市,,88204379,31384,3527,11429,20484
2015100000,2015年度,19209,山梨県 北杜市,,52301286,19271,3597,5571,13028
2015100000,2015年度,19210,山梨県 甲斐市,,99293211,33200,986,10694,24111
2015100000,2015年度,19211,山梨県 笛吹市,,80062879,29605,6172,7489,21256
2015100000,2015年度,19212,山梨県 上野原市,,32208317,10800,196,3802,7520
2015100000,2015年度,19213,山梨県 甲州市,,36629429,13326,3949,3125,9372
2015100000,2015年度,19214,山梨県 中央市,,41538074,13816,1021,4943,9200
2015100000,2015年度,19346,山梨県 市川三郷町,,17742429,6895,358,2515,4516
2015100000,2015年度,19364,山梨県 早川町,,1071132,434,25,97,358
2015100000,2015年度,19365,山梨県 身延町,,13491147,5374,231,1838,3741
2015100000,2015年度,19366,山梨県 南部町,,9309587,3682,137,1468,2181
2015100000,2015年度,19368,山梨県 富士川町,,18331317,6791,312,2465,4816
2015100000,2015年度,19384,山梨県 昭和町,,28970070,8773,268,2901,6491
2015100000,2015年度,19422,山梨県 道志村,,2366138,824,91,351,495
2015100000,2015年度,19423,山梨県 西桂町,,4963880,1896,31,969,1275
2015100000,2015年度,19424,山梨県 忍野村,,19438701,4215,93,2603,2326
2015100000,2015年度,19425,山梨県 山中湖村,,7694666,2630,59,622,2181
2015100000,2015年度,19429,山梨県 鳴沢村,,3840782,1319,154,472,935
2015100000,2015年度,19430,山梨県 富士河口湖町,,36141397,11359,307,3679,8758
2015100000,2015年度,19442,山梨県 小菅村,,791772,265,34,91,223
2015100000,2015年度,19443,山梨県 丹波山村,,558791,217,21,47,183
2015100000,2015年度,20201,長野県 長野市,,523011721,170951,11593,41409,130419
